,Feature1,Feature2,W
0,LKT__s__Bacteroides_uniformis,LKT__s__Bacteroides_vulgatus,3.162432969658664e-05
1,LKT__s__Bacteroides_Unclassified,LKT__s__Bacteroides_vulgatus,0.000252580120645
2,LKT__s__Bacteroides_ovatus,LKT__s__Bacteroides_vulgatus,7.269740624108443e-05
3,LKT__s__Eubacterium_rectale,LKT__s__Bacteroides_vulgatus,1.790283581589722e-05
4,LKT__o__Clostridiales,LKT__s__Bacteroides_vulgatus,1.8115032334184577e-05
5,LKT__s__Bacteroides_thetaiotaomicron,LKT__s__Bacteroides_vulgatus,2.158864394676358e-05
6,LKT__s__Bacteroides_cellulosilyticus,LKT__s__Bacteroides_vulgatus,1.1022600440146939e-05
7,LKT__s__Lachnospiraceae_bacterium,LKT__s__Bacteroides_vulgatus,5.079915531572431e-07
8,LKT__s__Parabacteroides_distasonis,LKT__s__Bacteroides_vulgatus,1.3218967393699985e-05
9,LKT__s__Blautia_Unclassified,LKT__s__Bacteroides_vulgatus,6.984001771007294e-06
10,LKT__s__Escherichia_coli,LKT__s__Bacteroides_vulgatus,7.165062116799999e-05
11,LKT__s__Ruminococcaceae_bacterium,LKT__s__Bacteroides_vulgatus,0.00011400336341990002
12,LKT__s__Bacteroides_dorei,LKT__s__Bacteroides_vulgatus,1.216820822491053e-07
13,LKT__f__Lachnospiraceae,LKT__s__Bacteroides_vulgatus,3.676984311747481e-05
14,LKT__s__Clostridiales_bacterium,LKT__s__Bacteroides_vulgatus,3.0402352797470774e-05
15,LKT__s__Bacteroides_xylanisolvens,LKT__s__Bacteroides_vulgatus,0.00034896561257688415
16,LKT__s__Blautia_obeum,LKT__s__Bacteroides_vulgatus,6.509555036418864e-05
17,LKT__s__Bacteroides_intestinalis,LKT__s__Bacteroides_vulgatus,3.548486461360002e-05
18,LKT__s__Blautia_wexlerae,LKT__s__Bacteroides_vulgatus,1.678305507524634e-06
19,LKT__s__Bacteroides_fragilis,LKT__s__Bacteroides_vulgatus,3.932855173339566e-05
20,LKT__s__Parabacteroides_merdae,LKT__s__Bacteroides_vulgatus,7.240532970100011e-06
21,LKT__s__Alistipes_finegoldii,LKT__s__Bacteroides_vulgatus,3.455579888538992e-06
22,LKT__o__Bacteroidales,LKT__s__Bacteroides_vulgatus,0.0002764553972631
23,LKT__s__Cyclospora_cayetanensis,LKT__s__Bacteroides_vulgatus,2.1211962425653757e-06
24,LKT__s__Ruminococcus_gnavus,LKT__s__Bacteroides_vulgatus,0.0004994984548365
25,LKT__k__Bacteria,LKT__s__Bacteroides_vulgatus,5.364549061341821e-06
26,LKT__s__Roseburia_faecis,LKT__s__Bacteroides_vulgatus,2.3377868901409556e-06
27,LKT__s__Dorea_longicatena,LKT__s__Bacteroides_vulgatus,9.658331322279999e-05
28,LKT__s__Roseburia_intestinalis,LKT__s__Bacteroides_vulgatus,0.0001459058213543684
29,LKT__g__Ruminococcus,LKT__s__Bacteroides_vulgatus,2.6068131883579522e-05
30,LKT__s__Firmicutes_bacterium,LKT__s__Bacteroides_vulgatus,2.172833277420275e-05
31,LKT__s__Bacteroides_faecis,LKT__s__Bacteroides_vulgatus,0.00014865558461741988
32,LKT__s__Clostridiaceae_bacterium,LKT__s__Bacteroides_vulgatus,3.802261709378631e-05
33,LKT__s__Eubacteriaceae_bacterium,LKT__s__Bacteroides_vulgatus,0.0002122094519782166
34,LKT__s__Parabacteroides_Unclassified,LKT__s__Bacteroides_vulgatus,4.5511733681992986e-05
35,LKT__s__Flavonifractor_plautii,LKT__s__Bacteroides_vulgatus,5.7144804458852364e-05
36,LKT__s__Oscillibacter_Unclassified,LKT__s__Bacteroides_vulgatus,0.0002801019265307407
37,LKT__s__Lachnospira_eligens,LKT__s__Bacteroides_vulgatus,7.597838883900475e-05
38,LKT__s__Blautia_massiliensis,LKT__s__Bacteroides_vulgatus,2.0960622441599408e-05
39,LKT__s__Bacteroides_plebeius,LKT__s__Bacteroides_vulgatus,0.0017739914005089003
40,LKT__s__Roseburia_hominis,LKT__s__Bacteroides_vulgatus,3.594013306167381e-07
41,LKT__s__Blautia_hansenii,LKT__s__Bacteroides_vulgatus,2.4433574634300766e-05
42,LKT__s__Dorea_formicigenerans,LKT__s__Bacteroides_vulgatus,0.000362489148999783
43,LKT__s__Clostridium_leptum,LKT__s__Bacteroides_vulgatus,9.101954447800104e-09
44,LKT__s__Enterocloster_clostridioformis,LKT__s__Bacteroides_vulgatus,1.0480901956925534e-05
45,LKT__s__Butyricicoccus_Unclassified,LKT__s__Bacteroides_vulgatus,5.861684285050495e-05
46,LKT__g__Blautia,LKT__s__Bacteroides_vulgatus,1.7668900270335908e-05
47,LKT__s__Subdoligranulum_Unclassified,LKT__s__Bacteroides_vulgatus,1.6408951992699986e-05
48,LKT__s__Roseburia_Unclassified,LKT__s__Bacteroides_vulgatus,6.840891096574205e-08
49,LKT__s__Sellimonas_intestinalis,LKT__s__Bacteroides_vulgatus,5.865822655959401e-05
50,LKT__g__Alistipes,LKT__s__Bacteroides_vulgatus,6.620045778785519e-05
51,LKT__s__Clostridium_symbiosum,LKT__s__Bacteroides_vulgatus,5.267591628682446e-05
52,LKT__f__Clostridiaceae,LKT__s__Bacteroides_vulgatus,2.4955137866200018e-05
53,LKT__s__Eisenbergiella_massiliensis,LKT__s__Bacteroides_vulgatus,1.634508928719484e-05
54,LKT__g__Clostridium,LKT__s__Bacteroides_vulgatus,7.798453525030002e-05
55,LKT__s__Blautia_producta,LKT__s__Bacteroides_vulgatus,5.028255640699019e-05
56,LKT__s__Eubacterium_ramulus,LKT__s__Bacteroides_vulgatus,1.0071541529760707e-07
57,LKT__f__Enterobacteriaceae,LKT__s__Bacteroides_vulgatus,0.0001793231121328
58,LKT__f__Rikenellaceae,LKT__s__Bacteroides_vulgatus,6.350460386014839e-05
59,LKT__s__Enterocloster_bolteae,LKT__s__Bacteroides_vulgatus,0.00010023552227436398
60,LKT__s__Clostridioides_difficile,LKT__s__Bacteroides_vulgatus,3.2619392297212585e-05
61,LKT__s__Anaerotruncus_colihominis,LKT__s__Bacteroides_vulgatus,2.2271260700529046e-06
62,LKT__s__Clostridium_phoceensis,LKT__s__Bacteroides_vulgatus,3.280168411809934e-05
63,LKT__s__Coprococcus_Unclassified,LKT__s__Bacteroides_vulgatus,3.704658013308451e-05
64,LKT__s__Streptococcus_Unclassified,LKT__s__Bacteroides_vulgatus,1.0757489746776044e-05
65,LKT__s__Clostridium_scindens,LKT__s__Bacteroides_vulgatus,5.276204911732053e-07
66,LKT__f__Erysipelotrichaceae,LKT__s__Bacteroides_vulgatus,1.7748739357268427e-08
67,LKT__s__Tyzzerella_nexilis,LKT__s__Bacteroides_vulgatus,0.00028197532211690006
68,LKT__s__Intestinimonas_butyriciproducens,LKT__s__Bacteroides_vulgatus,1.761053547921163e-05
69,LKT__s__Erysipelotrichaceae_bacterium,LKT__s__Bacteroides_vulgatus,0.0006469020853403
70,LKT__s__Dorea_Unclassified,LKT__s__Bacteroides_vulgatus,0.0001316328032778
71,LKT__s__Anaerotruncus_massiliensis,LKT__s__Bacteroides_vulgatus,1.5124808597350614e-05
72,LKT__s__Anaerotignum_lactatifermentans,LKT__s__Bacteroides_vulgatus,7.041312234141138e-05
73,LKT__g__Prevotella,LKT__s__Bacteroides_vulgatus,0.00011984500348066689
74,LKT__s__Coprococcus_eutactus,LKT__s__Bacteroides_vulgatus,1.534594590862206e-05
75,LKT__s__Intestinimonas_massiliensis,LKT__s__Bacteroides_vulgatus,3.291574627737721e-05
76,LKT__g__Roseburia,LKT__s__Bacteroides_vulgatus,0.00017502211953352906
77,LKT__f__Oscillospiraceae,LKT__s__Bacteroides_vulgatus,0.0009859854683393
78,LKT__s__Dysosmobacter_welbionis,LKT__s__Bacteroides_vulgatus,5.812329543786447e-05
79,LKT__s__Intestinimonas_timonensis,LKT__s__Bacteroides_vulgatus,8.541255764423266e-05
80,LKT__s__Frisingicoccus_caecimuris,LKT__s__Bacteroides_vulgatus,1.3645347616898556e-06
81,LKT__s__Angelakisella_massiliensis,LKT__s__Bacteroides_vulgatus,8.983810666790367e-05
82,LKT__s__Enterococcus_faecium,LKT__s__Bacteroides_vulgatus,2.8671782502155785e-07
83,LKT__s__Butyrivibrio_Unclassified,LKT__s__Bacteroides_vulgatus,8.085397432187927e-09
84,LKT__g__Butyricicoccus,LKT__s__Bacteroides_vulgatus,4.936569538332152e-05
85,LKT__s__Enterocloster_asparagiformis,LKT__s__Bacteroides_vulgatus,0.0001437415294810449
86,LKT__s__Enterocloster_lavalensis,LKT__s__Bacteroides_vulgatus,1.3474585344827564e-05
87,LKT__d__Eukaryota,LKT__s__Bacteroides_vulgatus,2.591096659840589e-06
88,LKT__s__Lachnoclostridium_phocaeense,LKT__s__Bacteroides_vulgatus,7.197741686086075e-06
89,LKT__s__Phocea_massiliensis,LKT__s__Bacteroides_vulgatus,0.0004239460242484
90,LKT__s__Enterocloster_aldensis,LKT__s__Bacteroides_vulgatus,6.477993503039393e-08
91,LKT__s__Anaerofustis_stercorihominis,LKT__s__Bacteroides_vulgatus,6.943386154108414e-06
92,LKT__g__Coprococcus,LKT__s__Bacteroides_vulgatus,6.016444798510924e-05
93,LKT__s__Agathobaculum_desmolans,LKT__s__Bacteroides_vulgatus,3.447150335436096e-05
94,LKT__s__Paenibacillus_Unclassified,LKT__s__Bacteroides_vulgatus,2.2497528259697567e-05
95,LKT__s__Marvinbryantia_formatexigens,LKT__s__Bacteroides_vulgatus,3.7738076991294976e-06
96,LKT__s__Bacteroides_vulgatus,LKT__Unclassified,4.5946542538036114e-05
97,LKT__s__Bacteroides_uniformis,LKT__Unclassified,2.5951946044865066e-06
98,LKT__g__Bacteroides,LKT__Unclassified,0.0007555103206053999
99,LKT__s__Faecalibacterium_prausnitzii,LKT__Unclassified,1.368838504912363e-05
100,LKT__s__Bacteroides_Unclassified,LKT__Unclassified,1.5216040789627602e-05
101,LKT__s__Bacteroides_ovatus,LKT__Unclassified,3.3480251478022865e-05
102,LKT__s__Eubacterium_rectale,LKT__Unclassified,9.901701262177953e-05
103,LKT__s__Bacteroides_stercoris,LKT__Unclassified,5.932921978151672e-06
104,LKT__o__Clostridiales,LKT__Unclassified,6.547653913748145e-05
105,LKT__s__Bacteroides_thetaiotaomicron,LKT__Unclassified,5.3985195402178845e-05
106,LKT__s__Bacteroides_cellulosilyticus,LKT__Unclassified,0.0001573777343893029
107,LKT__s__Lachnospiraceae_bacterium,LKT__Unclassified,4.596197147311178e-05
108,LKT__s__Parabacteroides_distasonis,LKT__Unclassified,0.00010039556912069528
109,LKT__s__Blautia_Unclassified,LKT__Unclassified,3.825889423054912e-05
110,LKT__s__Escherichia_coli,LKT__Unclassified,0.00018482930989530003
111,LKT__s__Ruminococcaceae_bacterium,LKT__Unclassified,3.6987122252799996e-05
112,LKT__s__Bacteroides_dorei,LKT__Unclassified,7.696594489658688e-06
113,LKT__s__Alistipes_putredinis,LKT__Unclassified,2.2440500350067892e-05
114,LKT__s__Clostridium_Unclassified,LKT__Unclassified,7.880040506351392e-06
115,LKT__f__Lachnospiraceae,LKT__Unclassified,0.00012468457912933792
116,LKT__s__Bacteroides_caccae,LKT__Unclassified,0.0006710439846523999
117,LKT__s__Clostridiales_bacterium,LKT__Unclassified,2.4187312612599995e-05
118,LKT__s__Bacteroides_xylanisolvens,LKT__Unclassified,0.0004541489308798171
119,LKT__s__Blautia_obeum,LKT__Unclassified,4.3977195155323246e-05
120,LKT__s__Bacteroides_intestinalis,LKT__Unclassified,1.9542675111135144e-05
121,LKT__s__Blautia_wexlerae,LKT__Unclassified,1.1026668572481247e-05
122,LKT__s__Bacteroides_fragilis,LKT__Unclassified,8.374276661810264e-06
123,LKT__s__Parabacteroides_merdae,LKT__Unclassified,4.089102052723688e-06
124,LKT__s__Alistipes_finegoldii,LKT__Unclassified,0.0001300591229245
125,LKT__o__Bacteroidales,LKT__Unclassified,7.037201075474892e-05
126,LKT__s__Ruminococcus_gnavus,LKT__Unclassified,1.6840218368997033e-05
127,LKT__k__Bacteria,LKT__Unclassified,0.0001938105816317
128,LKT__s__Gemmiger_formicilis,LKT__Unclassified,9.979470632099998e-05
129,LKT__s__Dorea_longicatena,LKT__Unclassified,2.1592745103185215e-06
