,Feature1,Feature2,W
0,LKT__s__Faecalibacterium_prausnitzii,Y,3.9850053175915914e-12
1,LKT__s__Ruminococcus_Unclassified,Y,2.3910655319059626e-12
2,LKT__s__Bacteroides_Unclassified,Y,5.673568782610645e-10
3,LKT__s__Eubacterium_rectale,Y,3.8662448316210944e-11
4,LKT__o__Clostridiales,Y,5.108568095609372e-12
5,LKT__s__Bacteroides_cellulosilyticus,Y,1.1427216774038196e-09
6,LKT__s__Akkermansia_muciniphila,Y,8.801476729743739e-14
7,LKT__s__Parabacteroides_distasonis,Y,9.73452812423917e-12
8,LKT__s__Blautia_Unclassified,Y,2.924626547472131e-11
9,LKT__s__Escherichia_coli,Y,2.722820437723462e-11
10,LKT__s__Alistipes_onderdonkii,Y,1.3674193039456458e-10
11,LKT__s__Prevotella_copri,Y,1.717665196833948e-11
12,LKT__s__Clostridium_Unclassified,Y,8.78692860106471e-11
13,LKT__f__Lachnospiraceae,Y,2.183457517113556e-10
14,LKT__s__Bacteroides_xylanisolvens,Y,4.380837785432607e-12
15,LKT__s__Blautia_obeum,Y,8.997450884249938e-12
16,LKT__s__Bacteroides_intestinalis,Y,1.5521004817488017e-10
17,LKT__s__Blautia_wexlerae,Y,9.371639733676347e-11
18,LKT__s__Bacteroides_fragilis,Y,1.2609244517686244e-10
19,LKT__s__Parabacteroides_merdae,Y,2.374265840486707e-11
20,LKT__s__Cyclospora_cayetanensis,Y,4.697516748310895e-10
21,LKT__s__Ruminococcus_gnavus,Y,2.479788559539817e-13
22,LKT__s__Collinsella_aerofaciens,Y,2.7680034750871474e-14
23,LKT__s__Anaerostipes_hadrus,Y,5.831226526623086e-11
24,LKT__s__Roseburia_faecis,Y,7.883673821543238e-13
25,LKT__s__Alistipes_Unclassified,Y,1.0024842964352282e-10
26,LKT__s__Dorea_longicatena,Y,3.243424328556749e-14
27,LKT__s__Bacteroides_eggerthii,Y,5.184376821027593e-10
28,LKT__s__Pseudomonas_aeruginosa,Y,2.1734439630702496e-10
29,LKT__s__Alistipes_shahii,Y,5.024681142361771e-13
30,LKT__s__Roseburia_intestinalis,Y,2.6420756328951087e-11
