,Feature1,Feature2,W
0,LKT__s__Bacteroides_vulgatus,Y,9.262558860602522e-11
1,LKT__s__Bacteroides_uniformis,Y,5.83502965473181e-12
2,LKT__g__Bacteroides,Y,3.6430451009324375e-15
3,LKT__s__Ruminococcus_Unclassified,Y,1.0261723517577136e-12
4,LKT__s__Bacteroides_stercoris,Y,2.4100727374302923e-12
5,LKT__s__Bacteroides_thetaiotaomicron,Y,1.612655691402639e-11
6,LKT__s__Lachnospiraceae_bacterium,Y,1.3321892581492658e-10
7,LKT__s__Akkermansia_muciniphila,Y,1.403690030238539e-11
8,LKT__s__Blautia_Unclassified,Y,1.3011112163606862e-10
9,LKT__s__Ruminococcaceae_bacterium,Y,3.3265209331518815e-13
10,LKT__s__Bacteroides_dorei,Y,1.9263635617221433e-11
11,LKT__s__Alistipes_onderdonkii,Y,3.7606992758656307e-14
12,LKT__s__Alistipes_putredinis,Y,8.711832143231341e-15
13,LKT__s__Prevotella_copri,Y,3.233429322455054e-11
14,LKT__s__Clostridium_Unclassified,Y,1.9366587779724286e-11
15,LKT__f__Lachnospiraceae,Y,2.106300813191295e-12
16,LKT__s__Bacteroides_caccae,Y,6.041782886032082e-11
17,LKT__s__Bacteroides_xylanisolvens,Y,2.2354901495388495e-12
18,LKT__s__Bacteroides_intestinalis,Y,3.371028672835498e-10
19,LKT__s__Blautia_wexlerae,Y,8.626488604919491e-13
20,LKT__s__Bacteroides_fragilis,Y,8.213282228831918e-14
21,LKT__s__Parabacteroides_merdae,Y,4.3497597848117855e-12
22,LKT__s__Alistipes_finegoldii,Y,3.188274874906885e-12
23,LKT__o__Bacteroidales,Y,1.0851586435367456e-11
24,LKT__k__Bacteria,Y,1.320551868202612e-10
25,LKT__s__Gemmiger_formicilis,Y,5.359673986658759e-14
26,LKT__s__Anaerostipes_hadrus,Y,1.2643383424815245e-12
27,LKT__s__Dorea_longicatena,Y,5.719585373603214e-10
28,LKT__s__Anaerobutyricum_hallii,Y,6.74090250614254e-11
29,LKT__s__Bacteroides_eggerthii,Y,2.568513020289162e-12
30,LKT__s__Pseudomonas_aeruginosa,Y,1.1805854478130172e-11
31,LKT__p__Firmicutes,Y,3.3713785483868504e-10
32,LKT__s__Bacteroidaceae_bacterium,Y,1.641976473537576e-11
33,LKT__s__Klebsiella_pneumoniae,Y,1.5909745860827258e-13
34,LKT__s__Bifidobacterium_adolescentis,Y,1.1376687401152373e-12
35,LKT__s__Eubacterium_siraeum,Y,2.9217662587821837e-12
36,LKT__s__Clostridiaceae_bacterium,Y,1.5410321073330388e-11
37,LKT__s__Eubacteriaceae_bacterium,Y,1.8732661135137478e-13
38,LKT__s__Oscillibacter_Unclassified,Y,2.279480199694378e-13
39,LKT__s__CrAssphage_ZA,Y,4.746695192051769e-13
40,LKT__s__Blautia_hansenii,Y,5.063334343648478e-11
41,LKT__s__Dorea_formicigenerans,Y,4.431791495461859e-12
42,LKT__s__Clostridium_leptum,Y,3.60059508829594e-12
43,LKT__s__Enterocloster_clostridioformis,Y,1.2238018757394276e-10
44,LKT__s__Butyricicoccus_Unclassified,Y,1.9547445056507123e-11
45,LKT__s__Phascolarctobacterium_faecium,Y,2.1939555466228791e-10
46,LKT__s__Streptococcus_salivarius,Y,2.5113335234390655e-11
47,LKT__s__Dialister_invisus,Y,8.901388473077993e-11
48,LKT__g__Parabacteroides,Y,8.229304713865048e-11
49,LKT__s__Ruthenibacterium_lactatiformans,Y,1.0605084801641284e-12
50,LKT__s__Subdoligranulum_Unclassified,Y,4.900041543303247e-13
51,LKT__s__Paraprevotella_clara,Y,4.526223939461794e-11
52,LKT__s__Sellimonas_intestinalis,Y,7.095248501880557e-12
53,LKT__s__Clostridium_symbiosum,Y,2.404530681043003e-15
54,LKT__f__Clostridiaceae,Y,1.0618792054845191e-09
55,LKT__s__Ruminococcus_lactaris,Y,4.600158487213828e-15
56,LKT__s__Eisenbergiella_massiliensis,Y,1.4661917224297828e-09
57,LKT__g__Clostridium,Y,5.306487297650538e-12
58,LKT__s__Akkermansia_Unclassified,Y,2.7912077813620475e-14
59,LKT__s__Eubacterium_ramulus,Y,2.5631911815003536e-12
60,LKT__s__Lachnospira_pectinoschiza,Y,5.144748048171321e-11
61,LKT__s__Coprobacillus_Unclassified,Y,3.0297228390593125e-11
62,LKT__s__Prevotella_lascolaii,Y,2.874730251997369e-12
63,LKT__f__Enterobacteriaceae,Y,1.4486824346509237e-11
64,LKT__f__Rikenellaceae,Y,4.6481558385830524e-11
65,LKT__s__Clostridioides_difficile,Y,9.285768199636707e-13
66,LKT__s__Alistipes_dispar,Y,1.0314993028509517e-12
67,LKT__s__Prevotella_stercorea,Y,2.403779763855136e-12
68,LKT__s__Hungatella_hathewayi,Y,3.598941055996651e-11
69,LKT__g__Faecalibacterium,Y,3.7857948157798846e-13
70,LKT__s__Streptococcus_thermophilus,Y,1.8788226128689778e-11
71,LKT__s__Adlercreutzia_equolifaciens,Y,6.408996028746355e-11
72,LKT__s__Anaerotruncus_colihominis,Y,4.660685309775844e-15
73,LKT__s__Coprococcus_Unclassified,Y,1.6854770408587747e-12
74,LKT__s__Streptococcus_Unclassified,Y,1.3752306225412993e-12
75,LKT__s__Clostridium_scindens,Y,4.666785769391413e-12
76,LKT__s__Butyricimonas_virosa,Y,4.001970989991906e-16
77,LKT__s__Intestinibacter_bartlettii,Y,3.0337008769364e-10
78,LKT__s__Clostridium_innocuum,Y,6.306698597035594e-11
79,LKT__s__Bifidobacterium_pseudocatenulatum,Y,3.427612901290273e-11
80,LKT__s__Intestinimonas_butyriciproducens,Y,1.7734906345601845e-11
81,LKT__g__Akkermansia,Y,1.972892749460292e-12
82,LKT__s__Fournierella_massiliensis,Y,2.4287299851560665e-12
83,LKT__s__Acidaminococcus_intestini,Y,3.3360007327503435e-11
84,LKT__s__Alistipes_indistinctus,Y,1.2390244956243133e-16
85,LKT__s__Alistipes_senegalensis,Y,1.4355067932068555e-13
86,LKT__s__Erysipelatoclostridium_ramosum,Y,2.0464169079071444e-11
87,LKT__f__Coriobacteriaceae,Y,1.9131121080862165e-14
88,LKT__s__Anaerotruncus_massiliensis,Y,2.280525394478547e-13
89,LKT__s__Eubacterium_Unclassified,Y,5.7392655629391294e-12
90,LKT__s__Anaerotignum_lactatifermentans,Y,6.863569971785718e-11
91,LKT__s__Romboutsia_timonensis,Y,6.350213697366928e-13
92,LKT__s__Coprococcus_eutactus,Y,3.038231973749338e-11
93,LKT__s__Ruminococcus_bromii,Y,1.443788909252558e-12
94,LKT__s__Eggerthella_Unclassified,Y,4.031451476121219e-11
95,LKT__s__Clostridium_sporosphaeroides,Y,2.2088016329075728e-10
96,LKT__s__Intestinimonas_massiliensis,Y,5.536508082298483e-11
97,LKT__s__Sutterella_wadsworthensis,Y,9.418899325484788e-13
98,LKT__g__Roseburia,Y,3.1978899020302183e-15
99,LKT__s__Butyricimonas_faecihominis,Y,1.1707063762334037e-13
100,LKT__s__Prevotella_buccae,Y,2.1651344010048448e-10
101,LKT__f__Oscillospiraceae,Y,2.2824325709260174e-12
102,LKT__s__Bifidobacterium_dentium,Y,1.0847390626055365e-10
103,LKT__g__Oscillibacter,Y,5.078788690588894e-13
104,LKT__s__Gordonibacter_urolithinfaciens,Y,5.1567776546868714e-11
105,LKT__s__Odoribacter_laneus,Y,3.235311364170568e-14
106,LKT__f__Akkermansiaceae,Y,3.5943891562218905e-12
107,LKT__s__Asaccharobacter_celatus,Y,7.122281460943943e-13
108,LKT__s__Coriobacteriaceae_bacterium,Y,5.291528270578675e-11
109,LKT__s__Anaeromassilibacillus_senegalensis,Y,4.783485355233823e-13
110,LKT__s__Clostridia_bacterium,Y,4.0320987196900616e-11
111,LKT__s__Enterococcus_faecium,Y,2.9925646401398486e-12
112,LKT__s__Clostridium_perfringens,Y,8.768511747722031e-12
113,LKT__s__Oscillibacter_ruminantium,Y,8.774442353722228e-13
114,LKT__g__Butyricicoccus,Y,9.893229648053333e-12
115,LKT__s__Enterocloster_asparagiformis,Y,1.7614015397214572e-13
116,LKT__s__Faecalitalea_cylindroides,Y,1.0805921025029915e-12
117,LKT__s__Collinsella_tanakaei,Y,1.535863299476883e-13
118,LKT__s__Candidatus_Borkfalkia,Y,5.363620604232432e-12
119,LKT__s__Anaerotruncus_Unclassified,Y,2.1800759989710078e-12
120,LKT__s__Longibaculum_muris,Y,8.346815737818687e-12
121,LKT__s__Coprobacillus_cateniformis,Y,2.4113753300770646e-13
122,LKT__s__Clostridium_spiroforme,Y,1.8621809399825081e-13
123,LKT__g__Escherichia,Y,7.361733838372361e-12
124,LKT__g__Eubacterium,Y,2.836262619273336e-12
125,LKT__s__Desulfovibrio_desulfuricans,Y,4.901908059996028e-13
126,LKT__s__Streptococcus_mutans,Y,9.170532920911397e-12
127,LKT__s__Megasphaera_Unclassified,Y,4.483947578449862e-12
128,LKT__s__Slackia_piriformis,Y,8.792641666013622e-13
129,LKT__s__Holdemania_filiformis,Y,8.73876678926876e-11
130,LKT__s__Cloacibacillus_evryensis,Y,4.024806465556967e-10
131,LKT__s__Streptomyces_Unclassified,Y,3.616035377939927e-11
132,LKT__s__Lachnoclostridium_phocaeense,Y,2.330147921774063e-11
133,LKT__s__Phocea_massiliensis,Y,9.3881895581944e-12
134,LKT__s__Ruminococcus_champanellensis,Y,1.191675339053764e-09
135,LKT__s__Actinomyces_Unclassified,Y,4.3555310842532215e-12
136,LKT__s__Bilophila_Unclassified,Y,6.222386572421039e-12
137,LKT__s__Eisenbergiella_tayi,Y,4.986807898518952e-11
138,LKT__s__Anaerofustis_stercorihominis,Y,2.1165458739812182e-14
139,LKT__s__Muribaculum_Unclassified,Y,3.783981448162313e-12
140,LKT__s__Paraprevotella_xylaniphila,Y,5.2587818953793107e-11
141,LKT__s__Faecalimonas_umbilicata,Y,3.5136069301808833e-12
142,LKT__s__Holdemania_Unclassified,Y,1.0339946019383725e-12
143,LKT__s__Collinsella_bouchesdurhonensis,Y,2.778063653597172e-12
144,LKT__g__Anaerostipes,Y,2.007532277810744e-13
145,LKT__s__Raoultibacter_massiliensis,Y,9.871908604607014e-15
146,LKT__s__Proteiniborus_ethanoligenes,Y,7.372087696589096e-12
147,LKT__s__Schaalia_odontolytica,Y,9.992726129961624e-11
148,LKT__s__Cryptobacterium_curtum,Y,3.5945032333597083e-10
149,LKT__g__Veillonella,Y,4.5815368510707325e-10
150,LKT__s__Veillonella_dispar,Y,4.762306710554458e-12
151,LKT__g__Butyricimonas,Y,7.591091524101382e-11
152,LKT__f__Synergistaceae,Y,1.0062140743284307e-12
153,LKT__s__Lactobacillus_paracasei,Y,4.676474521109289e-10
154,LKT__s__Porphyromonas_asaccharolytica,Y,3.0179385867964643e-12
155,LKT__s__Lactobacillus_salivarius,Y,1.713060835330634e-10
156,LKT__s__Lachnospira_multipara,Y,1.1387725831267927e-10
157,LKT__s__Alloscardovia_omnicolens,Y,7.305299913745074e-15
158,LKT__s__Propionibacterium_freudenreichii,Y,8.808377765341212e-10
159,LKT__s__Mogibacterium_diversum,Y,2.9253951577200055e-11
160,LKT__s__Arabia_massiliensis,Y,4.4384851244369834e-11
161,LKT__s__Porphyromonas_uenonis,Y,3.3682167258943563e-10
162,LKT__g__Haemophilus,Y,3.750581199821903e-12
163,LKT__s__Mogibacterium_pumilum,Y,6.662125501085043e-12
164,LKT__s__Streptococcus_viridans,Y,4.222930812749814e-10
165,LKT__g__Dorea,Y,3.525849230257016e-12
166,LKT__s__Christensenella_minuta,Y,2.240742368392565e-12
167,LKT__s__Actinomyces_bouchesdurhonensis,Y,5.339981261576646e-14
168,LKT__s__Paenibacillus_Unclassified,Y,9.439830658103027e-11
169,LKT__s__Oxalobacter_formigenes,Y,4.693041885184045e-11
170,LKT__s__Eubacterium_maltosivorans,Y,1.5225009940205105e-12
171,LKT__s__Lactobacillus_plantarum,Y,5.99863901197979e-11
172,LKT__s__Bacteroides_ilei,Y,9.165071635714341e-12
173,LKT__s__Acidaminococcus_fermentans,Y,7.210968008183793e-11
174,LKT__s__Bifidobacterium_gallinarum,Y,1.3522020865666107e-11
175,LKT__s__Cuneatibacter_caecimuris,Y,1.9379707059179843e-11
176,LKT__s__Intestinibacillus_massiliensis,Y,2.3600932937453087e-12
177,LKT__s__Enorma_phocaeensis,Y,8.686652815261818e-13
178,LKT__g__Enterobacter,Y,3.453929118958514e-10
179,LKT__s__Candidatus_Methanomassiliicoccus_intestinalis,Y,6.883450774680563e-14
180,LKT__s__Eubacterium_ruminantium,Y,1.0699730147300445e-12
181,LKT__s__Terrisporobacter_glycolicus,Y,3.0952093354344316e-12
182,LKT__s__Marvinbryantia_formatexigens,Y,1.4407896937543307e-11
183,LKT__s__Bacteroides_uniformis,Y,4.909886228220915e-11
184,LKT__s__Faecalibacterium_prausnitzii,Y,1.7111524001827136e-13
185,LKT__s__Bacteroides_Unclassified,Y,2.9916070517242107e-12
186,LKT__s__Bacteroides_ovatus,Y,5.404017599419751e-11
187,LKT__s__Eubacterium_rectale,Y,9.790538075634999e-11
188,LKT__s__Bacteroides_stercoris,Y,1.0535959359404234e-10
189,LKT__s__Akkermansia_muciniphila,Y,1.1173464406845437e-10
190,LKT__s__Blautia_Unclassified,Y,1.5324042280676619e-10
191,LKT__s__Ruminococcaceae_bacterium,Y,6.7263403843222855e-12
192,LKT__s__Bacteroides_dorei,Y,1.462881879162677e-11
193,LKT__s__Alistipes_onderdonkii,Y,1.882068267682329e-12
194,LKT__s__Alistipes_putredinis,Y,2.5991410074470313e-11
195,LKT__s__Prevotella_copri,Y,2.1051357923419238e-13
196,LKT__f__Lachnospiraceae,Y,3.5456105907962612e-12
197,LKT__s__Clostridiales_bacterium,Y,7.198908732406869e-12
198,LKT__s__Bacteroides_intestinalis,Y,1.5772486418374552e-12
199,LKT__s__Alistipes_finegoldii,Y,2.0760595318953309e-10
200,LKT__o__Bacteroidales,Y,5.395871761039239e-12
201,LKT__s__Cyclospora_cayetanensis,Y,6.591925175972698e-11
202,LKT__s__Ruminococcus_gnavus,Y,1.1003291346017589e-09
203,LKT__s__Gemmiger_formicilis,Y,1.5302111177635417e-12
204,LKT__s__Alistipes_Unclassified,Y,2.7053256094478533e-11
205,LKT__s__Bacteroides_eggerthii,Y,3.6011625724250343e-12
206,LKT__s__Pseudomonas_aeruginosa,Y,7.660453910569612e-12
207,LKT__s__Klebsiella_pneumoniae,Y,9.32145919664861e-11
208,LKT__s__Bifidobacterium_adolescentis,Y,6.943604841517318e-11
209,LKT__s__Firmicutes_bacterium,Y,6.692499812951145e-10
210,LKT__s__Bacteroides_massiliensis,Y,4.8198821966691095e-11
211,LKT__s__Bacteroides_faecis,Y,1.7712731171515993e-11
212,LKT__s__Clostridiaceae_bacterium,Y,1.9946424181319318e-11
213,LKT__s__Parabacteroides_Unclassified,Y,2.6413566070338205e-15
214,LKT__s__Roseburia_inulinivorans,Y,2.268618707417505e-11
215,LKT__s__Flavonifractor_plautii,Y,2.9103778319881146e-14
216,LKT__s__Bacteroides_salyersiae,Y,2.5415994525134635e-12
217,LKT__s__Lachnospira_eligens,Y,9.94216890447319e-11
218,LKT__s__Prevotella_Unclassified,Y,6.890945979080908e-12
219,LKT__s__Blautia_massiliensis,Y,7.170727473961375e-13
220,LKT__s__Bacteroides_plebeius,Y,2.4732427194345116e-12
221,LKT__s__Blautia_hansenii,Y,2.3880487303821115e-11
222,LKT__s__Parabacteroides_johnsonii,Y,7.749407659042783e-11
223,LKT__s__Dorea_formicigenerans,Y,1.0707837252890998e-10
224,LKT__s__Alistipes_communis,Y,7.265606548141721e-11
225,LKT__s__Enterocloster_clostridioformis,Y,1.827896121812166e-14
226,LKT__s__Butyricicoccus_Unclassified,Y,9.787345890643447e-16
227,LKT__s__Fusicatenibacter_saccharivorans,Y,2.561157413641605e-15
228,LKT__s__Bacteroides_finegoldii,Y,8.948941156955946e-13
229,LKT__s__Dialister_invisus,Y,1.170150428292555e-12
230,LKT__s__Neglecta_timonensis,Y,1.3504067876462541e-12
231,LKT__s__Ruthenibacterium_lactatiformans,Y,6.571167094934275e-11
232,LKT__g__Blautia,Y,3.8229726866493554e-13
233,LKT__s__Subdoligranulum_Unclassified,Y,1.2785634019953255e-10
234,LKT__s__Roseburia_Unclassified,Y,1.7890174378950634e-11
235,LKT__s__Paraprevotella_clara,Y,2.8686894170467846e-10
236,LKT__s__Faecalibacterium_Unclassified,Y,1.9266724033264843e-12
237,LKT__s__Sellimonas_intestinalis,Y,4.236273669833954e-11
238,LKT__g__Alistipes,Y,3.795581233338892e-14
239,LKT__f__Clostridiaceae,Y,3.0280600293228504e-10
240,LKT__s__Eisenbergiella_massiliensis,Y,7.031078568214864e-12
241,LKT__g__Clostridium,Y,3.3426472909585885e-13
242,LKT__s__Akkermansia_Unclassified,Y,1.0560594012887836e-12
243,LKT__s__Eubacterium_ramulus,Y,1.748479382950316e-10
244,LKT__s__Coprobacillus_Unclassified,Y,9.826606600325001e-11
245,LKT__s__Bacteroides_coprocola,Y,1.062865653164508e-12
246,LKT__s__Eggerthella_lenta,Y,1.9408012205439456e-12
247,LKT__s__Alistipes_dispar,Y,5.236706826739536e-13
248,LKT__s__Prevotella_stercorea,Y,4.8961147421711554e-11
249,LKT__s__Hungatella_hathewayi,Y,2.286889672062255e-11
250,LKT__g__Streptococcus,Y,5.6783894625120754e-11
251,LKT__s__Streptococcus_thermophilus,Y,4.6888718991733095e-11
252,LKT__s__Bacteroidales_bacterium,Y,7.87399952262779e-12
253,LKT__s__Anaerotruncus_colihominis,Y,4.213075330825269e-13
254,LKT__s__Clostridium_phoceensis,Y,5.280458711361337e-13
255,LKT__s__Coprococcus_catus,Y,9.951319385112585e-12
256,LKT__s__Streptococcus_Unclassified,Y,2.998766101810328e-11
257,LKT__s__Clostridium_scindens,Y,3.359252045500697e-11
258,LKT__f__Erysipelotrichaceae,Y,5.551296686552824e-12
259,LKT__s__Butyricimonas_virosa,Y,2.060252469552075e-11
260,LKT__s__Streptococcus_vestibularis,Y,1.3013838733853334e-14
261,LKT__s__Tyzzerella_nexilis,Y,1.3980578890718146e-12
262,LKT__s__Bifidobacterium_pseudocatenulatum,Y,7.463891752713245e-15
263,LKT__s__Erysipelotrichaceae_bacterium,Y,2.1927359981425e-10
264,LKT__s__Blautia_coccoides,Y,3.071378440008312e-13
265,LKT__s__Blautia_hydrogenotrophica,Y,1.911312095815212e-11
266,LKT__s__Streptococcus_parasanguinis,Y,5.406131543274583e-11
267,LKT__s__Fournierella_massiliensis,Y,6.184515623229113e-12
268,LKT__s__Anaeromassilibacillus_Unclassified,Y,6.162070210396424e-11
269,LKT__s__Anaerotruncus_massiliensis,Y,4.211136240757283e-12
270,LKT__s__Eubacterium_Unclassified,Y,1.5297281115649015e-11
271,LKT__s__Romboutsia_timonensis,Y,6.058561585008198e-12
272,LKT__s__Ruminococcus_bromii,Y,2.9410184560456206e-12
273,LKT__p__Proteobacteria,Y,2.3817046392130956e-12
274,LKT__s__Collinsella_Unclassified,Y,1.0940473788849061e-11
275,LKT__s__Butyrivibrio_crossotus,Y,3.7438676277474294e-13
276,LKT__s__Sutterella_wadsworthensis,Y,1.0847630820437955e-11
277,LKT__g__Roseburia,Y,2.4174743568548157e-16
278,LKT__s__Prevotella_buccae,Y,4.0020929118717814e-13
279,LKT__s__Bifidobacterium_dentium,Y,6.672710969817452e-11
280,LKT__f__Eubacteriaceae,Y,2.2311354616838002e-10
281,LKT__s__Frisingicoccus_caecimuris,Y,4.088985155546101e-11
282,LKT__s__Collinsella_intestinalis,Y,2.0285057552934492e-13
283,LKT__s__Desulfovibrio_fairfieldensis,Y,2.722057962440097e-12
284,LKT__s__Odoribacter_laneus,Y,5.4431822713265025e-12
285,LKT__s__Angelakisella_massiliensis,Y,1.2168406052133904e-11
286,LKT__s__Coriobacteriaceae_bacterium,Y,4.929628351808658e-12
287,LKT__s__Anaeromassilibacillus_senegalensis,Y,8.959991733553902e-14
288,LKT__s__Muribaculaceae_bacterium,Y,3.802835017645366e-12
289,LKT__s__Clostridia_bacterium,Y,1.3297609561393237e-11
290,LKT__s__Enterococcus_faecium,Y,8.289949618322259e-12
291,LKT__s__Desulfovibrio_piger,Y,1.4703223677516236e-10
292,LKT__s__Harryflintia_acetispora,Y,5.91763615431646e-11
