Diseases and Bio Functions	genesEnrichedForRABacteria - 2024-06-28 10:35 AM	genesEnrichedForCtrlBacteria - 2024-06-28 10:36 AM
Soft tissue lesion	7.121069165052565	6.565718805320863
Formation of solid tumor	4.630044664546709	8.075431872583795
High grade neuroepithelial tumor of brain	5.467486491974363	6.376120950447806
Malignant brain glioma	6.037144705841956	5.668232392940467
Glioblastoma multiforme of brain	5.101453117008484	5.999929984990589
High grade glioma	4.872775163879913	5.722306241452778
Generation of tumor	4.0745769667340515	5.738623253126855
Gastrointestinal adenocarcinoma	5.371611075697611	4.2514246944968
Cutaneous melanoma	7.142685068114847	2.3494331334963605
Gastrointestinal stromal tumor in fibrous tissue	5.895895986554578	3.5111207331271888
Melanoma	7.195013876492552	2.1981311258274165
Extracranial solid tumor	4.518307677894726	4.608779559899147
Abdominal adenocarcinoma	5.221922859597573	3.8936920996750763
Non-melanoma solid tumor	4.989828351774464	3.9376816675506348
Nonhematologic malignant neoplasm	4.987574675285332	3.9355870313648085
Digestive system cancer	5.469116832266934	3.347572969533517
Abdominal carcinoma	4.952716719733679	3.536030032084618
Extrapancreatic malignant tumor	4.142903599827401	4.241294851164192
Intraabdominal organ tumor	4.4559084661501815	3.774186062138158
Non-central nervous system malignant neoplasm	4.604488338666117	3.5806755746807495
Large intestine adenocarcinoma	4.645062460438057	3.1938534140267896
Carcinoma	4.141858016535339	3.3661958127226748
Connective or soft tissue tumor	3.6088636721471374	3.88657304311387
Pelvic cancer	1.5316878323131233	5.949716896360649
Head and neck cancer	3.650418577287805	3.77765107281289
Pelvic carcinoma	1.6599059315202607	5.474467094232949
Cancer of secretory structure	3.2138993201558983	3.9189491740868356
Thyroid carcinoma	3.1117755949054997	3.771294133561248
Development of genital tumor	2.004534214563893	4.833643607109552
Female genital tract cancer	1.969524175354257	4.775105014091014
Pelvic adenocarcinoma	1.7313463664938973	4.935058746481035
Female genital carcinoma	2.124805147118265	4.505794078364883
Development of adenocarcinoma	2.75986667249905	3.843908627210775
Genitourinary adenocarcinoma	1.646944864949897	4.8071894376548485
Development of carcinoma	2.9030913090411525	3.5326858562730767
Tumorigenesis of reproductive tract	1.829601591699076	4.539054319494577
Uterine cancer	2.627956116658212	3.727359661453562
Upper abdominal cancer	3.3160192810142757	3.0261661024673208
Endometrioid carcinoma	2.7742918321597836	3.4572143804588142
Uterine carcinoma	2.7470467754136227	3.4259065274594818
Genital tract cancer	1.353133944925949	4.776166015966978
Genital carcinoma	1.546710448863721	4.577246343382861
Female genital tract adenocarcinoma	2.10565132708592	3.9900276903108285
Endometrioid endometrial adenocarcinoma	3.039892625166314	2.8881154313202595
Adenocarcinoma	5.607131580297263	0.0
Abnormality of endometrium	2.478523554439306	3.116469316514141
Genitourinary carcinoma	1.3183815010213786	4.268864457428787
Breast or gynecological cancer	0.0	5.438381663681774
Survival of brain tissue	2.686135559099413	2.6775353873488177
Development of sinusoid	2.686135559099413	2.6775353873488177
Early infantile epileptic encephalopathy type 27	2.686135559099413	2.6775353873488177
Poretti-Boltshauser syndrome	2.686135559099413	2.6775353873488177
Development of Reichert's membrane	2.686135559099413	2.6775353873488177
Autosomal dominant mental retardation type 6	2.686135559099413	2.6775353873488177
Cancer of head	0.0	5.353916274626412
Sézary syndrome	3.851238177243829	1.3183143616708346
Urogenital cancer	0.0	4.993944435232296
Non-hematological solid tumor	0.0	4.933964925605622
Transport of monocarboxylic acid	0.0	4.883247996009845
Left colon adenocarcinoma	1.4784739999563865	3.337118614146431
Landau Kleffner syndrome	1.4885805160205934	3.292653632808286
Urinary tract carcinoma	1.4551742588322163	3.316331141253614
Long-term potentiation of dorsal striatum	2.385544176954753	2.376952961119469
Susceptibility to familial breast-ovarian cancer type 4	2.385544176954753	2.376952961119469
Cytotoxicity of nervous tissue cell lines	2.385544176954753	2.376952961119469
Initiation of gastrulation	2.385544176954753	2.376952961119469
Developmental delay and generalized hypotonia and cerebellar ataxia	2.385544176954753	2.376952961119469
Developmental delay and intractable seizure	2.385544176954753	2.376952961119469
Spatial memory consolidation	2.385544176954753	2.376952961119469
Lack of Reichert's membrane	2.385544176954753	2.376952961119469
Hepato-pancreato-biliary cancer	2.206222751652475	2.3820762154267285
Genital tumor	0.0	4.587208863277369
Pancreaticobiliary cancer	1.9622011422897785	2.615024404381212
Gastrointestinal tract cancer	4.546809137095716	0.0
Malignant neoplasm of large intestine	4.4641137843785295	0.0
Abdominal cancer	0.0	4.447036399175971
Cell polarity formation by epithelial cells	2.209891395645668	2.2013091298634038
Operant self-administration of ethanol	2.209891395645668	2.2013091298634038
Symptomatic stage leptomeningeal metastasis	2.209891395645668	2.2013091298634038
Frontal lobe dementia	2.209891395645668	2.2013091298634038
Semantic dementia	2.209891395645668	2.2013091298634038
Symptomatic stage metastatic breast cancer	2.209891395645668	2.2013091298634038
Long-term potentiation of prefrontal cortex	2.209891395645668	2.2013091298634038
Malignant genitourinary solid tumor	0.0	4.379327992836823
Colon adenocarcinoma	2.060350554250093	2.2890887203215358
Soft tissue neoplasm	0.0	4.292766696541215
Permeability of connective tissue cells	2.0853910010194614	2.0768176794397757
Maturation of focal adhesions	2.0853910010194614	2.0768176794397757
Migration of acute lymphoblastic leukemia cells	2.0853910010194614	2.0768176794397757
Swelling of perikaryon	2.0853910010194614	2.0768176794397757
Abnormal morphology of disorganized barrel cortex	2.0853910010194614	2.0768176794397757
Binding of Lassa virus	2.0853910010194614	2.0768176794397757
Neoplasia of cells	1.7905522671772014	2.2794607181116757
Gastrointestinal carcinoma	0.0	4.056759907814675
Neck neoplasm	3.9370460515808547	0.0
T-cell malignant neoplasm	2.000432101524433	1.9354132759650464
Pancreaticobiliary carcinoma	1.4782159828046184	2.4422314040195867
Tumorigenesis of epithelial neoplasm	0.0	3.8629202341803963
Incidence of tumor	0.0	3.8620652247721865
Malignant neoplasm of retroperitoneum	1.4632558117292582	2.3696242338087607
Abnormal morphology of parietal endoderm	1.9101760185125318	1.9016205677328726
Development of trophoblast cells	1.9101760185125318	1.9016205677328726
Synaptogenesis of hippocampal neurons	1.9101760185125318	1.9016205677328726
Metastatic recurrent melanoma	1.9101760185125318	1.9016205677328726
Skin picking	1.9101760185125318	1.9016205677328726
Child-Pugh class B7 advanced hepatocellular carcinoma	1.9101760185125318	1.9016205677328726
Blue round small cell tumor	1.4042789158421844	2.3396018144001105
Head and neck squamous cell carcinoma	1.9134862910462638	1.8275855233998424
Frequency of tumor	0.0	3.708966506287798
Arrest in cytokinesis of cervical cancer cell lines	1.8436671634052428	1.8351206392468646
Apoptosis of medium spiny neurons	1.8436671634052428	1.8351206392468646
Engraftment of leukemia cell lines	1.8436671634052428	1.8351206392468646
Pervasive developmental disorder not otherwise specified	1.8436671634052428	1.8351206392468646
Ascending and transverse colon cancer	1.5215729611023878	2.137675284417556
Hepatobiliary neoplasm	2.047861340074811	1.5977299207946556
Hematologic cancer	2.1731973172904486	1.4326830981068739
Plasticity of neurons	1.7861130150641653	1.777575411711268
Myeloid or lymphoid neoplasm	2.1347918609359726	1.4027040665637658
Ascending colon adenocarcinoma	1.6108804859401809	1.888961317971455
Hepatobiliary carcinoma	1.9600134869114905	1.533565245963575
Mature T-cell neoplasm	1.9891313795637586	1.487835510923301
Mild skin manifestation	1.735398155440801	1.7268694669635036
Progressive muscle atrophy	1.735398155440801	1.7268694669635036
AMPA mediated synaptic current	1.735398155440801	1.7268694669635036
Hyperalgesia of paw	1.735398155440801	1.7268694669635036
Colony formation of leukocyte cell lines	1.735398155440801	1.7268694669635036
Migration of granule neuron progenitor cells	1.6900781917851502	1.6815584123659988
Primary lateral sclerosis	1.6900781917851502	1.6815584123659988
Cogan-type congenital oculomotor apraxia	1.6900781917851502	1.6815584123659988
