"","taxa","Dup_p","NA.x","Dup_np","NA.y"
"3","LKT__f__Akkermansiaceae","49","Pitt","44","Non-Pitt"
"16","LKT__g__Acidaminococcus","49","Pitt","37","Non-Pitt"
"39","LKT__g__Methanosphaera","48","Pitt","32","Non-Pitt"
"49","LKT__g__Veillonella","49","Pitt","43","Non-Pitt"
"51","LKT__o__Bacillales","49","Pitt","47","Non-Pitt"
"60","LKT__s__Acidaminococcus_Unclassified","41","Pitt","41","Non-Pitt"
"68","LKT__s__Agathobaculum_desmolans","49","Pitt","48","Non-Pitt"
"70","LKT__s__Akkermansia_Unclassified","49","Pitt","38","Non-Pitt"
"72","LKT__s__Alistipes_dispar","49","Pitt","46","Non-Pitt"
"82","LKT__s__Alloscardovia_omnicolens","47","Pitt","36","Non-Pitt"
"84","LKT__s__Anaerofustis_stercorihominis","49","Pitt","47","Non-Pitt"
"108","LKT__s__Bacteroides_ilei","49","Pitt","39","Non-Pitt"
"113","LKT__s__Bacteroides_phage_crAss001","48","Pitt","33","Non-Pitt"
"124","LKT__s__Bifidobacterium_animalis","48","Pitt","38","Non-Pitt"
"127","LKT__s__Bifidobacterium_gallinarum","47","Pitt","37","Non-Pitt"
"146","LKT__s__Butyricimonas_paravirosa","45","Pitt","30","Non-Pitt"
"152","LKT__s__Candidatus_Stoquefichus","49","Pitt","39","Non-Pitt"
"154","LKT__s__Christensenella_minuta","49","Pitt","44","Non-Pitt"
"155","LKT__s__Cloacibacillus_evryensis","49","Pitt","37","Non-Pitt"
"156","LKT__s__Clostridia_bacterium","49","Pitt","48","Non-Pitt"
"161","LKT__s__Clostridium_disporicum","45","Pitt","47","Non-Pitt"
"168","LKT__s__Clostridium_spiroforme","49","Pitt","46","Non-Pitt"
"174","LKT__s__Collinsella_bouchesdurhonensis","49","Pitt","40","Non-Pitt"
"192","LKT__s__Desulfovibrio_desulfuricans","46","Pitt","45","Non-Pitt"
"193","LKT__s__Desulfovibrio_fairfieldensis","47","Pitt","36","Non-Pitt"
"195","LKT__s__Desulfovibrio_Unclassified","44","Pitt","45","Non-Pitt"
"200","LKT__s__Duncaniella_Unclassified","44","Pitt","37","Non-Pitt"
"210","LKT__s__Enterobacter_hormaechei","48","Pitt","45","Non-Pitt"
"219","LKT__s__Erysipelatoclostridium_ramosum","48","Pitt","45","Non-Pitt"
"254","LKT__s__Intestinibacillus_massiliensis","49","Pitt","47","Non-Pitt"
"255","LKT__s__Intestinibacter_bartlettii","49","Pitt","43","Non-Pitt"
"268","LKT__s__Lactobacillus_gasseri","49","Pitt","41","Non-Pitt"
"271","LKT__s__Lactobacillus_plantarum","48","Pitt","41","Non-Pitt"
"273","LKT__s__Lactobacillus_salivarius","47","Pitt","29","Non-Pitt"
"274","LKT__s__Lactobacillus_vaginalis","49","Pitt","34","Non-Pitt"
"279","LKT__s__Megasphaera_Unclassified","44","Pitt","32","Non-Pitt"
"281","LKT__s__Methanosphaera_stadtmanae","49","Pitt","30","Non-Pitt"
"287","LKT__s__Odoribacter_laneus","49","Pitt","39","Non-Pitt"
"293","LKT__s__Paenibacillus_Unclassified","48","Pitt","47","Non-Pitt"
"299","LKT__s__Paraprevotella_clara","48","Pitt","48","Non-Pitt"
"306","LKT__s__Porphyromonas_uenonis","47","Pitt","30","Non-Pitt"
"307","LKT__s__Prevotella_buccae","47","Pitt","40","Non-Pitt"
"311","LKT__s__Prevotella_oryzae","46","Pitt","34","Non-Pitt"
"312","LKT__s__Prevotella_stercorea","49","Pitt","37","Non-Pitt"
"313","LKT__s__Prevotella_Unclassified","49","Pitt","48","Non-Pitt"
"318","LKT__s__Raoultibacter_massiliensis","49","Pitt","40","Non-Pitt"
"342","LKT__s__Slackia_piriformis","49","Pitt","30","Non-Pitt"
"343","LKT__s__Sporobacter_termitidis","47","Pitt","48","Non-Pitt"
"346","LKT__s__Streptococcus_oralis","49","Pitt","44","Non-Pitt"
"351","LKT__s__Streptococcus_vestibularis","47","Pitt","36","Non-Pitt"
"352","LKT__s__Streptococcus_viridans","49","Pitt","36","Non-Pitt"
"356","LKT__s__Sutterella_faecalis","43","Pitt","36","Non-Pitt"
"357","LKT__s__Sutterella_megalosphaeroides","48","Pitt","33","Non-Pitt"
"366","LKT__s__Victivallales_bacterium","45","Pitt","36","Non-Pitt"
