"","...1","Feature1","Feature2","W"
"1",0,"LKT__s__Bacteroides_uniformis","LKT__s__Bacteroides_vulgatus",0.00036725617570073
"2",4,"LKT__s__Bacteroides_Unclassified","LKT__s__Bacteroides_vulgatus",0.00016443575723792
"3",5,"LKT__s__Bacteroides_ovatus","LKT__s__Bacteroides_vulgatus",0.00014170399782096
"4",11,"LKT__s__Lachnospiraceae_bacterium","LKT__s__Bacteroides_vulgatus",0.00018671898214381
"5",16,"LKT__s__Bacteroides_dorei","LKT__s__Bacteroides_vulgatus",0.0004917691289897
"6",17,"LKT__s__Alistipes_putredinis","LKT__s__Bacteroides_vulgatus",0.0004339323116961
"7",19,"LKT__f__Lachnospiraceae","LKT__s__Bacteroides_vulgatus",0.0003623565690454
"8",22,"LKT__s__Bacteroides_xylanisolvens","LKT__s__Bacteroides_vulgatus",0.00014526570290978
"9",27,"LKT__s__Parabacteroides_merdae","LKT__s__Bacteroides_vulgatus",0.00081231614711069
"10",28,"LKT__s__Alistipes_finegoldii","LKT__s__Bacteroides_vulgatus",0.00022921206128667
"11",38,"LKT__s__Ruminococcus_torques","LKT__s__Bacteroides_vulgatus",0.00020593540184799
"12",40,"LKT__s__Firmicutes_bacterium","LKT__s__Bacteroides_vulgatus",0.0001170767381892
"13",44,"LKT__s__Flavonifractor_plautii","LKT__s__Bacteroides_vulgatus",0.00020007806092151
"14",46,"LKT__f__Ruminococcaceae","LKT__s__Bacteroides_vulgatus",0.0004173242443358
"15",47,"LKT__s__Coprococcus_comes","LKT__s__Bacteroides_vulgatus",0.00011379439349524
"16",49,"LKT__s__Bacteroides_plebeius","LKT__s__Bacteroides_vulgatus",0.00010317632319448
"17",52,"LKT__s__Dorea_formicigenerans","LKT__s__Bacteroides_vulgatus",0.0004106059492152
"18",57,"LKT__g__Blautia","LKT__s__Bacteroides_vulgatus",0.0001756424090037
"19",60,"LKT__s__Clostridium_symbiosum","LKT__s__Bacteroides_vulgatus",0.00012314484087429
"20",61,"LKT__f__Clostridiaceae","LKT__s__Bacteroides_vulgatus",0.000607417516203
"21",62,"LKT__s__Ruminococcus_lactaris","LKT__s__Bacteroides_vulgatus",0.0003480106532489
"22",71,"LKT__s__Anaerotruncus_colihominis","LKT__s__Bacteroides_vulgatus",0.00027546026806519
"23",73,"LKT__s__Clostridium_scindens","LKT__s__Bacteroides_vulgatus",0.000205194747804
"24",74,"LKT__f__Erysipelotrichaceae","LKT__s__Bacteroides_vulgatus",0.00010002765557646
"25",75,"LKT__s__Tyzzerella_nexilis","LKT__s__Bacteroides_vulgatus",0.00010415287783691
"26",79,"LKT__s__Anaerotruncus_massiliensis","LKT__s__Bacteroides_vulgatus",0.0002069736130989
"27",83,"LKT__s__Intestinimonas_timonensis","LKT__s__Bacteroides_vulgatus",0.00012351339222383
"28",90,"LKT__s__Butyricicoccus_pullicaecorum","LKT__s__Bacteroides_vulgatus",0.00017080809054745
"29",94,"LKT__s__Phocea_massiliensis","LKT__s__Bacteroides_vulgatus",0.000559956082289
"30",95,"LKT__s__Enterocloster_aldensis","LKT__s__Bacteroides_vulgatus",0.00017324399793309
"31",104,"LKT__g__Bacteroides","LKT__Unclassified",0.0003520448973396
"32",108,"LKT__o__Clostridiales","LKT__Unclassified",0.0001782379937438
"33",110,"LKT__s__Parabacteroides_distasonis","LKT__Unclassified",0.0001765013440092
"34",111,"LKT__s__Escherichia_coli","LKT__Unclassified",0.0002175515902855
"35",118,"LKT__s__Clostridiales_bacterium","LKT__Unclassified",0.0006565781430484
"36",125,"LKT__s__Alistipes_finegoldii","LKT__Unclassified",0.0005101936074591
"37",126,"LKT__o__Bacteroidales","LKT__Unclassified",0.0001448784292147
"38",127,"LKT__s__Cyclospora_cayetanensis","LKT__Unclassified",0.00028870102232484
"39",130,"LKT__s__Gemmiger_formicilis","LKT__Unclassified",0.0002238104999756
"40",133,"LKT__s__Anaerobutyricum_hallii","LKT__Unclassified",0.00020354328058599
"41",136,"LKT__s__Ruminococcus_flavefaciens","LKT__Unclassified",0.0002092259050872
"42",138,"LKT__s__Eubacterium_siraeum","LKT__Unclassified",0.0001414479951988
"43",140,"LKT__s__Eubacteriaceae_bacterium","LKT__Unclassified",0.0001023284946523
"44",148,"LKT__s__Bacteroides_plebeius","LKT__Unclassified",0.0003108471569619
"45",149,"LKT__s__Dorea_formicigenerans","LKT__Unclassified",0.00024277439342099
"46",152,"LKT__g__Parabacteroides","LKT__Unclassified",0.00024070873826219
"47",155,"LKT__s__Sellimonas_intestinalis","LKT__Unclassified",0.0003785093023516
"48",157,"LKT__f__Clostridiaceae","LKT__Unclassified",0.00027283140849879
"49",160,"LKT__s__Eubacterium_ramulus","LKT__Unclassified",0.00013732822733063
"50",161,"LKT__f__Enterobacteriaceae","LKT__Unclassified",0.0001528199683899
"51",162,"LKT__f__Rikenellaceae","LKT__Unclassified",0.0001508067410652
"52",165,"LKT__s__Hungatella_hathewayi","LKT__Unclassified",0.0001253915952071
"53",166,"LKT__g__Streptococcus","LKT__Unclassified",0.0001176424027631
"54",170,"LKT__s__Coprococcus_catus","LKT__Unclassified",0.00023061559423269
"55",173,"LKT__s__Clostridium_scindens","LKT__Unclassified",0.0002795118620652
"56",174,"LKT__s__Clostridium_innocuum","LKT__Unclassified",0.00010787844138689
"57",176,"LKT__s__Erysipelotrichaceae_bacterium","LKT__Unclassified",0.0001885438911637
"58",181,"LKT__g__Prevotella","LKT__Unclassified",0.0002237676473268
"59",183,"LKT__s__Intestinimonas_massiliensis","LKT__Unclassified",0.00010144331532476
"60",184,"LKT__g__Roseburia","LKT__Unclassified",0.00010125169798859
"61",185,"LKT__f__Oscillospiraceae","LKT__Unclassified",0.0002122314311022
"62",187,"LKT__s__Intestinimonas_timonensis","LKT__Unclassified",0.0001593043964616
"63",202,"LKT__s__Phocea_massiliensis","LKT__Unclassified",0.0003188146873091
"64",203,"LKT__s__Enterocloster_aldensis","LKT__Unclassified",0.0004767424059319
"65",204,"LKT__s__Anaerofustis_stercorihominis","LKT__Unclassified",0.0002244560550282
"66",210,"LKT__s__Marvinbryantia_formatexigens","LKT__Unclassified",0.0001184564010196
"67",212,"LKT__Unclassified","LKT__s__Bacteroides_uniformis",0.00021170546823329
"68",213,"LKT__g__Bacteroides","LKT__s__Bacteroides_uniformis",0.00012725466958039
"69",216,"LKT__s__Bacteroides_Unclassified","LKT__s__Bacteroides_uniformis",0.00011033458412989
"70",218,"LKT__s__Bacteroides_stercoris","LKT__s__Bacteroides_uniformis",0.00019847388568971
"71",224,"LKT__s__Ruminococcaceae_bacterium","LKT__s__Bacteroides_uniformis",0.0001207172503513
"72",229,"LKT__s__Clostridiales_bacterium","LKT__s__Bacteroides_uniformis",0.0002096901302079
"73",230,"LKT__s__Bacteroides_xylanisolvens","LKT__s__Bacteroides_uniformis",0.0007407121399605
"74",234,"LKT__o__Bacteroidales","LKT__s__Bacteroides_uniformis",0.00016128094307329
"75",237,"LKT__k__Bacteria","LKT__s__Bacteroides_uniformis",0.00013460068563738
"76",238,"LKT__s__Gemmiger_formicilis","LKT__s__Bacteroides_uniformis",0.0007613314002754
"77",241,"LKT__s__Parabacteroides_Unclassified","LKT__s__Bacteroides_uniformis",0.00011167408784979
"78",243,"LKT__s__Flavonifractor_plautii","LKT__s__Bacteroides_uniformis",0.00025285218189642
"79",253,"LKT__g__Parabacteroides","LKT__s__Bacteroides_uniformis",0.0002155334172991
"80",255,"LKT__s__Subdoligranulum_Unclassified","LKT__s__Bacteroides_uniformis",0.0001710410724015
"81",267,"LKT__s__Clostridium_phoceensis","LKT__s__Bacteroides_uniformis",0.00021147456179034
"82",276,"LKT__g__Prevotella","LKT__s__Bacteroides_uniformis",0.0004186500433301
"83",279,"LKT__g__Roseburia","LKT__s__Bacteroides_uniformis",0.0001217302836352
"84",283,"LKT__s__Angelakisella_massiliensis","LKT__s__Bacteroides_uniformis",0.00010296817001801
"85",289,"LKT__c__Actinobacteria","LKT__s__Bacteroides_uniformis",0.00028056287977009
"86",290,"LKT__d__Eukaryota","LKT__s__Bacteroides_uniformis",0.00012634278366913
"87",291,"LKT__s__Bacillus_Unclassified","LKT__s__Bacteroides_uniformis",0.0002145272643582
"88",295,"LKT__s__Paenibacillus_Unclassified","LKT__s__Bacteroides_uniformis",0.0002278844510634
"89",303,"LKT__o__Clostridiales","LKT__g__Bacteroides",0.0001029368734337
"90",310,"LKT__s__Bacteroides_dorei","LKT__g__Bacteroides",0.0001557178520343
"91",313,"LKT__s__Bacteroides_caccae","LKT__g__Bacteroides",0.00016516833984313
"92",317,"LKT__s__Bacteroides_fragilis","LKT__g__Bacteroides",0.00010937154924952
"93",319,"LKT__s__Alistipes_finegoldii","LKT__g__Bacteroides",0.00015027519166679
"94",328,"LKT__s__Roseburia_intestinalis","LKT__g__Bacteroides",0.0001938273735698
"95",334,"LKT__s__Eubacteriaceae_bacterium","LKT__g__Bacteroides",0.0003266312078264
"96",339,"LKT__s__Oscillibacter_Unclassified","LKT__g__Bacteroides",0.000522447803971
"97",340,"LKT__f__Ruminococcaceae","LKT__g__Bacteroides",0.0001025949284927
"98",341,"LKT__s__Coprococcus_comes","LKT__g__Bacteroides",0.0003726803287851
"99",342,"LKT__s__Lachnospira_eligens","LKT__g__Bacteroides",0.00027299988877715
